MRF Item #,Page,Item Name,Description,Min Qty,Min -47,48-95,96-239,240-479,480-959,300-599,600-2399,Mfg Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT129CA,6,Peppermint Bark in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Peppermint Bark, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT141CA,6,Jumbo California Pistachios in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Jumbo California Pistachios, four-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,13.05,13,13,12.95,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT143CA,6,Cocoa Dusted Truffles in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 11 Cocoa Dusted Truffles, three and one-half ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMC-CTCA,6,Individual Mailing Carton for Classic Treats,Individual mailing carton for Classic Treats,48,,1.65,1.55,1.55,1.35,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT102CA,6,Extra Fancy Jumbo Cashews in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Extra Fancy Jumbo Cashews, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT119CA,6,Chocolate Sea Salt Caramels in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 8 Chocolate Sea Salt Caramels, four and three-quarters ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT121CA,6,English Butter Toffee in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 12 pieces of English Butter Toffee, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT123CA,6,Pecan Turtles in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 12 Pecan Turtles, six-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT124CA,6,Chocolate Covered Almonds in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Chocolate Covered Almonds, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT129CA,6,Peppermint Bark in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Peppermint Bark, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT141CA,6,Jumbo California Pistachios in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Jumbo California Pistachios, four-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,13.05,13,13,12.95,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT143CA,6,Cocoa Dusted Truffles in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 11 Cocoa Dusted Truffles, three and one-half ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB102CA,7,Jumbo Cashews in Black & White Triangular Gift Box,"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with our famous Extra Fancy Jumbo Cashews, five-ounces. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow. If individual shipment is requested, individual mailers are required at an extra charge.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB121CA,7,English Butter Toffee in Black & White Triangular Gift Box,"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with twelve pieces of our signature English Butter Toffee. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow. If individual shipment is requested, individual mailers are required at an extra charge.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB124CA,7,Chocolate Almonds in Black & White Triangular Gift Box,"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with our famous Chocolate Covered Almonds, five-ounces. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow. If individual shipment is requested, individual mailers are required at an extra charge.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB143CA,7,Cocoa Dusted Truffles in Black & White Triangular Gift Box,"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with eleven Cocoa Dusted Truffles. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow. If individual shipment is requested, individual mailers are required at an extra charge.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMC-BTBCA,7,Individual Mailing Carton for Triangular Gift Boxes,Individual mailing carton for Triangular Gift Boxes,48,,1.65,1.55,1.55,1.35,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1006CA,8,Toffee & Chocolate Almonds in Wooden Collector's Box,"Our two best-selling chocolates in one deluxe package. Freshly-roasted California almonds are smothered in rich, milk chocolate to create our famous Chocolate Covered Almonds. Alongside we include our signature English Butter Toffee, made the old-fashioned way with plenty of dairy-fresh butter for a richness and flavor that's impossible to find anywhere else. Ten-ounces in all. This masterpiece assortment will delight every chocolate lover!",18,35.9,35.6,34.8,34.8,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K116CA,8,Deluxe Mixed Nuts in Wooden Collector's Box,"We hear it over and over again: ""These are the best and freshest nuts that I've ever tasted."" Sure they are... because we roast them in small batches, at exactly the right temperature, then salt them ever-so-lightly to enhance their natural flavor and package them at once in a three-quarter pound gold-foil bag to lock in freshness. Everyone who tastes these spectacular nuts notices the difference, and so will you!",18,32.65,32.3,31.55,31.55,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K124CA,8,Chocolate Covered Almonds in Wooden Collector's Box,"We'll tell you flat out: These are the biggest and finest Chocolate Covered Almonds we've ever seen. In fact, they're so superior to what you'll see in stores that your customers and employees will call asking where you found them. Colossal, freshly toasted California almonds are covered in rich chocolate! Over 75 come packed in this three-quarter pound box. What a treat!",18,31.55,31.2,30.45,30.45,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB939CA,9,Scarlet Magnetic Closure Keepsake Box,"The large, elegant, magnetic closure gift box will be perfect for keeping small treasured items, either in the office or at home. We foil-stamp your logo in gold or silver on the lid of this leather-like box then tie it with a matching gold or silver ribbon. It's filled with an incredible assortment of gourmet treats including Chocolate Sea Salt Caramels, English Butter Toffee, Chocolate Covered Almonds, and Extra Fancy Jumbo Cashews, nearly one and a quarter pounds in all. This gift is guaranteed to bring a smile to their face! Other food combinations are available, contact factory.",12,59.9,59.55,58.8,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB914CA,10,Navy Magnetic Closure Keepsake Box,"This large, magnetic closure gift box features a luxurious navy blue leather-like finish and will be a long time reminder of this gourmet gift. Your logo is foil-stamped in silver or gold on the center of the lid and the box is wrapped with a matching silver or gold ribbon. Four of our most popular gourmet selections are packaged inside. When recipients open their gift they'll be treated to our signature English Butter Toffee, rich Pecan Turtles, fresh-roasted Deluxe Mixed Nuts and our legendary Chocolate Covered Almonds, nearly one and a half pounds of our best treats. Other food options are available, contact factory.",12,59.95,59.55,58.8,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBR3001CA,11,Chocolate Fantasy,"Indulge someone's love of fine chocolate with this sumptuous gift! Three award-winning confections... our signature English Butter Toffee, mouth-watering Pecan Turtles and rich Chocolate Covered Almonds presented in an elegant white pillow-top gift box. It's carefully tied with complementary brown satin ribbon that's foil-stamped with your logo in white.  They'll love you for choosing this sophisticated gift!",12,43.55,43.2,42.45,42.45,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBR3004CA,11,Chocolate Bliss,"Indulge someone's love of fine chocolate with this sumptuous gift! Three award-winning confections... our popular Milk Chocolate Covered Almonds, delicious Pecan Turtles, and chewy, rich Dark Chocolate Sea Salt Caramels presented in an elegant white pillow-top gift box. It's carefully tied with complementary brown satin ribbon that's foil-stamped with your logo in white.  They'll love you for choosing this sophisticated gift!",12,43.55,43.2,42.45,42.45,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB914CA,12,President's Choice,"A truly exclusive keepsake! This black, faux leather keepsake box, with your logo foil-stamped in white or debossed, is practically overflowing with delicacies everyone will be thrilled to receive. Smooth, Milk Chocolate Covered Almonds, mouth-watering Pecan Turtles, crunchy and buttery English Toffee and fresh-roasted Deluxe Mixed Nuts. Nearly one and a half-pounds of gourmet treats! With so many delicious flavors and so many uses, this faux leather gift box will be sure to leave a lasting impression. Other food combinations are available, contact factory.",12,59.9,59.55,58.8,58.8,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2002CA,13,1920 Tractor-Trailer Truck with Extra Fancy Jumbo Cashews,"Everyone will want to add this 1920 Tractor-Trailer to their collection. The tractor-trailer (13.25"" x 3.25"" x 4.625"") includes your logo or imprint foil-stamped in gold on both sides. We include a package of freshly roasted Extra Fancy Jumbo Cashews, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Imported.",12,52.25,51.95,51.2,51.2,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2020CA,13,1920 Tractor-Trailer with Chocolate Almonds & Jumbo Cashews,"Everyone will want to add this 1920 Tractor-Trailer to their collection. The tractor-trailer (13.25"" x 3.25"" x 4.625"") includes your logo or imprint foil-stamped in gold on both sides. We include a package of freshly roasted Extra Fancy Jumbo Cashews, five-ounces and Chocolate Covered Almonds, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Imported.",12,56.6,56.3,55.55,55.55,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2024CA,13,1920 Tractor-Trailer Truck with Chocolate Almonds,"Everyone will want to add this 1920 Tractor-Trailer to their collection. The tractor-trailer (13.25"" x 3.25"" x 4.625"") includes your logo or imprint foil-stamped in gold on both sides. We include a package of Chocolate Covered Almonds, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Imported.",12,51.2,50.85,50.1,50.1,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR102CA,14,Classic Wooden 1925 Stake Truck with Jumbo Cashews,"Recipients will appreciate the style and craftsmanship of our version of a Classic 1925 Stake Truck almost as much as they'll appreciate the cargo! Both sides of the truck feature your imprint foil-stamped in gold. We include Extra Fancy Jumbo Cashews, five-ounces. Truck is imported.",18,40.3,39.95,39.2,39.2,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR120CA,14,Classic 1925 Stake Truck with Cashews & Chocolate Almonds,"Recipients will appreciate the style and craftsmanship of our version of a Classic 1925 Stake Truck almost as much as they'll appreciate the cargo! Both sides of the truck feature your imprint foil-stamped in gold. We include Extra Fancy Jumbo Cashews, five-ounces, and Chocolate Covered Almonds, five-ounces. Truck is imported.",18,44.65,44.3,43.55,43.55,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR124CA,14,Classic Wooden 1925 Stake Truck with Chocolate Almonds,"Recipients will appreciate the style and craftsmanship of our version of a Classic 1925 Stake Truck almost as much as they'll appreciate the cargo! Both sides of the truck feature your imprint foil-stamped in gold. We include Chocolate Covered Almonds, five-ounces. Truck is imported.",18,39.2,38.85,38.1,38.1,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2124CA,14,1930-Era Tractor Trailer Truck with Chocolate Almonds,"A ""must have"" for all collectors, this 1930-Era Tractor-Trailer will be appreciated by every lucky recipient!ÊThe tractor-trailer features your logo foil-stamped in gold on both sides. We include a package of Chocolate Covered Almonds, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Quantity is limited so order early!",12,52.25,51.95,51.2,51.2,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2102CA,14,1930-Era Tractor Trailer Truck with Cashews,"A ""must have"" for all collectors, this 1930-Era Tractor-Trailer will be appreciated by every lucky recipient!ÊThe tractor-trailer features your logo foil-stamped in gold on both sides. We include a package of freshly roasted Extra Fancy Jumbo Cashews, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Quantity is limited so order early!",12,53.35,53.05,52.25,52.25,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2120CA,14,1930-Era Tractor Trailer Truck Chocolate Almonds and Cashews,"A ""must have"" for all collectors, this 1930-Era Tractor-Trailer will be appreciated by every lucky recipient!ÊThe tractor-trailer features your logo foil-stamped in gold on both sides. We include a package of Chocolate Covered Almonds and freshly roasted Extra Fancy Jumbo Cashews, five-ounces each. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Quantity is limited so order early!",12,57.75,57.4,56.65,56.65,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG3565CA,15,Burgundy & Gold Tower of Sweets,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This burgundy and gold tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate Ð White, Milk, and Dark. A sheer burgundy ribbon foil-stamped with your logo ties it all together. Serves 9-14.",8,81.7,81.4,80.6,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS3565CA,15,Gold Striped Tower of Sweets,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This gold striped tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate Ð White, Milk, and Dark. A sheer burgundy ribbon foil-stamped with your logo ties it all together. Serves 9-14.",8,81.7,81.4,80.6,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSF3565CA,15,Navy Snowflake Tower of Sweets,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This snowflake and navy blue tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate Ð White, Milk, and Dark. A navy satin ribbon foil-stamped with your logo ties it all together. Serves 9-14.",8,81.7,81.4,80.6,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
